Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-0.885840273349487,0.871165108824655,1.49827163286527,1.25466014072242,-0.280036239761486,2.20157344206868,-13.0102414784906,3.79131698812559,2.332430425228,0.520077078766576,0.851514099080347,0.0198043510903005,2.58203110997908,7.76337858065274,8.20270661423964,-8.1257118193862,10.5216858043415,18.4949840475048,2.93629935142694,-4.87457042963125,13.5640242230663,4.25230910788834,3.59315455769801,4.15542045739321,4.70502699155466,3.43693622075358,-5.20667780303229,-10.6896457584573,-4.82993710327591,-8.92951230614914,-6.6443246702583,-5.90313789155032,-10.541441149376,-0.707899383954029,0.662364277714261,1.59102469246974,2.49034386643116,1.81000253049821,1.60872928149072,0.874446775692576,1.64917840080135,1.50538761790315,1.80835741065761,3.94457280361809,-0.706764237742178,0.674361789179073,2.0648668768558,0.680795225859114,-0.575779773662347,0.61941955065312,1.31438276066753,1.72656822823878,2.57770613762654,3.06186813629918,2.85570847804183,1.90101677443914,0.853425542814335,1.37927808153022,1.0747184425726,-1.81004318662097
Canada,CAN,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40461721692.6468,40934952063.9468,42227447631.9159,45029988561.2124,49377522896.703,54515179580.7148,61088384036.6515,65668655501.1254,71829810519.8955,79148411661.6902,87896095320.1263,99271961774.6088,113082820486.918,131321858814.119,160408697341.513,173834029689.343,206575564908.722,211612157028.679,218632867537.477,243072102612.259,273853826548.067,306214863624.99,313506525087.136,340547711781.889,355372558103.621,364756499450.751,377437927311.983,431316742081.448,507354351182.254,565055743243.243,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,654986999855.554,634000000000,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1721853332869.63,1741576393905.98,1644037286481.26
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2259.29428549881,2240.43303945853,2268.58534607907,2374.49844764883,2555.11114601309,2770.36180408145,3047.10614707958,3217.15929360795,3462.67887195794,3763.95337938417,4121.93281373693,4520.1628781257,5089.58790204875,5838.66089434012,7033.01102090736,7511.21134279151,8809.26466044933,8919.05746104275,9123.69133364505,10043.6609586669,11170.5639723393,12337.4662493804,12481.8747874298,13425.1224888294,13877.9170763469,14114.8077599664,14461.0692388787,16308.9669663579,18936.9641024997,20715.631483174,21448.3619600057,21768.3432941828,20879.8483300891,20121.1612532855,19935.3814579208,20613.7878829216,21227.3475315896,21901.5628548392,21024.5850687045,22315.2466731545,24271.0020563821,23822.0601178964,24255.3385818322,28300.4630963791,32143.6814078562,36382.5079164537,40504.0607253203,44659.8951408034,46710.5055759013,40876.3101540295,47562.0834253057,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.3564395662,46454.7433947203,46326.6726375572,43258.176319834
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,1.11938696476608,5.44585823647479,3.40521291674428,4.65075548180265,4.40951831705128,4.73567577508092,1.25281682979357,3.31525003537992,3.62673325493226,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.94695463974652,3.12879168364921,3.94521856404198,0.309869780551935,2.30357713736453,2.8795698281111,2.94899827121588,4.00887788882287,3.11869306935945,5.83579337545824,-0.0802948387444928,-4.03041984871436,1.94962818944229,2.14230900946657,0.663247994866836,1.25361381330025,1.84102612431141,-0.089285801148975,-0.135842621321913,1.81111454911982,0.992851882229218,0.43021113414872,-6.33904652535297
Cayman Islands,CYM,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4200439457.5783,4466438857.5543,4586114124.56498,4281868714.74859,4156990759.63038,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5522625585.0234,5935769350.77403,..
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82801.5426595892,85433.0309402124,85188.337040308,77400.4214448146,73351.7567693109,72329.6613326945,72777.1484890568,73514.6686831216,74990.4332223775,76284.1939286359,78471.6287315261,81513.1630224977,86059.7392168454,91392.6425875166,..
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.102081390905482,-3.23553329234031,-9.69320823042324,-5.03479069626668,-0.937279179860425,-0.634729365757281,-0.35984858205525,1.11086355666252,1.37862026256323,1.84890054164606,1.85236328568278,2.91163927489984,2.57669161664211,..
Central African Republic,CAF,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
